Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
20,K678,PRE-K CENTER @ 1423 62ND ST,PRE-K,LEASE,"CM, F&E",Complete,05/24/2016,07/17/2017,08/30/2017,3931356,$2914506.00,$2353362.00,DSF: 0000821958
20,K695,DISTRICT 20 PRE-K CENTER,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,01/19/2017,F&E,12/22/2017,190000,$190000.00,$0.00,DSF: 0000844258
20,K746,P.S. 746 - BROOKLYN,SCA Capacity,NEW SCHOOL,Scope,Complete,04/15/2015,10/15/2015,11/10/2015,2318675,$839189.00,$787066.00,DSF: 0000798186
20,K746,P.S. 746 - BROOKLYN,SCA Capacity,NEW SCHOOL,Design,Complete,11/12/2015,04/29/2016,02/03/2017,7419760,$3378957.00,$3083117.00,DSF: 0000798186
20,K746,P.S. 746 - BROOKLYN,SCA Capacity,NEW SCHOOL,Construction,In-Progress,06/22/2017,03/07/2020,,104062134,$94500391.00,$3049134.00,DSF: 0000798186
20,K746,P.S. 746 - BROOKLYN,SCA Capacity,NEW SCHOOL,"CM,Art,F&E",In-Progress,06/22/2017,03/07/2020,,14654026,$5073355.00,$401868.00,DSF: 0000798186
20,K747,DISTRICT 20 PRE-K CENTER,SCA IEH,IEH PO18-ROOM 204,Construction,In-Progress,06/02/2017,IEH,,IEH,$11387.00,$1076.00,DSF: 0000047105
20,K747,DISTRICT 20 PRE-K CENTER,SCA IEH,"IEH PO18-RMS 115,118,117,119 & 1ST FL HALLWAY",Construction,Complete,12/11/2017,IEH,12/17/2017,IEH,$44356.00,$1622.00,DSF: 0000049710
20,K747,DISTRICT 20 PRE-K CENTER,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,01/09/2017,F&E,07/31/2017,228000,$228000.00,$228000.00,DSF: 0000844264
20,K762,PRE-K CENTER @ 1355 84TH ST,PRE-K,LEASE,Scope,Complete,05/11/2015,05/11/2015,05/11/2015,51776,$64975.00,$64975.00,DSF: 0000822162
20,K762,PRE-K CENTER @ 1355 84TH ST,PRE-K,LEASE,Design,Complete,05/12/2015,07/23/2015,07/23/2015,165684,$152768.00,$152768.00,DSF: 0000822162
20,K762,PRE-K CENTER @ 1355 84TH ST,PRE-K,LEASE,Construction,In-Progress,08/27/2015,05/01/2016,,2323718,$62598.00,$47115.00,DSF: 0000822162
20,K762,PRE-K CENTER @ 1355 84TH ST,PRE-K,LEASE,"CM, F&E",In-Progress,08/27/2015,05/01/2016,,433996,$115995.00,$115275.00,DSF: 0000822162
20,K767,DISTRICT 20 PRE-K CENTER,SCA IEH,IEH PO18-AUDITORIUM/GYM IN BASEMENT,Construction,In-Progress,11/25/2017,IEH,,IEH,$11056.00,$0.00,DSF: 0000049466
20,K807,P.S. 163 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,$208842.00,$0.00,DSF: 0000777043
20,K934,FORT HAMILTON HS - K,SCA CIP,ROOFS,Scope,Complete,05/27/2014,10/09/2014,02/13/2015,43408,$10771.00,$10771.00,DSF: 0000829999
20,K934,FORT HAMILTON HS - K,SCA CIP,ROOFS,Design,Complete,01/12/2017,06/14/2017,05/31/2017,173632,$43085.00,$43085.00,DSF: 0000829999
20,K934,FORT HAMILTON HS - K,SCA CIP,ROOFS,Construction,PNS,PNS,PNS,PNS,2572829,$2893864.00,$0.00,DSF: 0000829999
20,K934,FORT HAMILTON HS - K,SCA CIP,ROOFS,"CM, F&E",PNS,PNS,PNS,PNS,202570,$3750.00,$3607.00,DSF: 0000829999
20,K940,P.S. 170 - BROOKLYN,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,01/08/2015,DOES,,DOES,$75150.00,$3750.00,DSF: 0000799841
21,K043,I.S. 98 - BROOKLYN,SCA CIP RESOA,FY12 RESO A AUDITORIUM SEATING,Scope,Complete,05/24/2016,08/24/2016,06/09/2016,0,$10561.00,$10561.00,DSF: 0000844102
21,K043,I.S. 98 - BROOKLYN,SCA CIP RESOA,FY12 RESO A AUDITORIUM SEATING,Design,PNS,PNS,PNS,PNS,9600,$18747.00,$55.00,DSF: 0000844102
21,K043,I.S. 98 - BROOKLYN,SCA CIP RESOA,FY12 RESO A AUDITORIUM SEATING,Construction,PNS,PNS,PNS,PNS,140800,$429850.00,$0.00,DSF: 0000844102
21,K043,I.S. 98 - BROOKLYN,SCA CIP RESOA,FY12 RESO A AUDITORIUM SEATING,"CM, F&E",PNS,PNS,PNS,PNS,9600,$29308.00,$25.00,DSF: 0000844102
21,K043,I.S. 98 - BROOKLYN,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,Complete,01/19/2017,F&E,08/09/2017,250000,$250000.00,$250000.00,DSF: 0000844330
21,K043,I.S. 98 - BROOKLYN,DOE- RESOA,FY14 RESO A ROOM CONVERSIONS / PART,Construction,PNS,PNS,PNS,PNS,200000,$200000.00,$0.00,DSF: 0000798824
21,K090,P.S. 90 - BROOKLYN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000867325
21,K090,P.S. 90 - BROOKLYN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Design,PNS,PNS,PNS,PNS,4800,$4800.00,$0.00,DSF: 0000867325
21,K090,P.S. 90 - BROOKLYN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,70400,$70400.00,$0.00,DSF: 0000867325
21,K090,P.S. 90 - BROOKLYN,SCA CIP RESOA,FY18 RESO A LIBRARY UPGRADES,"CM, F&E",PNS,PNS,PNS,PNS,4800,$4800.00,$0.00,DSF: 0000867325
21,K090,P.S. 90 - BROOKLYN,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,08/06/2015,DOES,,DOES,$508.00,$456.00,DSF: 0000823654
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,Scope,Complete,07/18/2013,01/03/2014,10/28/2013,82528,$151955.00,$148528.00,"DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,Design,Complete,12/17/2013,05/20/2014,04/16/2014,322525,$408826.00,$309908.00,"DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,Construction,In-Progress,08/11/2014,11/03/2015,,5366230,$7302167.00,$4799699.00,"DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,SCA CIP,PARAPET/ROOFS/EXT MASONRY,"CM, F&E",In-Progress,08/11/2014,11/03/2015,,483787,$671567.00,$573746.00,"DSF: 0000026515, 0000779171, 0000779172"
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Scope,Complete,06/13/2017,08/14/2017,07/24/2017,0,$14619.00,$1574.00,DSF: 0000844944
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Design,In-Progress,10/18/2017,02/23/2018,,41040,$26421.00,$6297.00,DSF: 0000844944
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,601920,$601920.00,$2836.00,DSF: 0000844944
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY17 RESO A SUPPLEMENTAL COOLING,"CM, F&E",PNS,PNS,PNS,PNS,41040,$41040.00,$3469.00,DSF: 0000844944
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867233
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867233
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867233
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867233
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867250
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867250
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867250
21,K095,P.S. 95 - BROOKLYN,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867250
21,K095,P.S. 95 - BROOKLYN,SCA IEH,IEH PO18-PRINCIPAL'S OFFICE #215,Construction,Complete,07/06/2017,IEH,07/07/2017,IEH,$12089.00,$3076.00,DSF: 0000047525
21,K095,P.S. 95 - BROOKLYN,SCA IEH,IEH PO18-RM 217 G.O. CEILING,Construction,Complete,07/28/2017,IEH,07/29/2017,IEH,$15532.00,$1970.00,DSF: 0000047870
21,K095,P.S. 95 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,In-Progress,03/02/2017,DOEL,,DOEL,$500.00,$0.00,DSF:
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Scope,Complete,01/21/2016,05/05/2016,03/03/2016,0,$18616.00,$4759.00,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Design,Complete,03/09/2016,08/08/2016,01/13/2017,50820,$62010.00,$56454.00,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Construction,Complete,04/28/2017,12/23/2017,12/18/2017,745356,$462398.00,$253395.00,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,"CM, F&E",Complete,04/28/2017,12/23/2017,12/18/2017,55546,$55541.00,$52629.00,DSF: 0000822618
21,K096,I.S. 96 - BROOKLYN,SCA IEH,IEH PO18-RM 405,Construction,Complete,07/11/2017,IEH,08/22/2017,IEH,$164.00,$164.00,DSF: 0000047566
21,K096,I.S. 096 SETH LOW,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/07/2017,01/15/2018,,125000,$124273.00,$124273.00,DSF: 0000844276
21,K096,I.S. 096 SETH LOW,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,In-Progress,12/07/2017,01/15/2018,,50000,$49625.00,$49625.00,DSF: 0000845498
21,K096,I.S. 96 - BROOKLYN,DOE - Skilled Trades,CTF ROOM CONVERSION,Construction,Complete,07/14/2017,11/29/2017,11/29/2017,DOES,$592000.00,$160218.00,DSF: 0000844695
21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,Scope,Complete,03/13/2017,08/14/2017,07/31/2017,1220080,$573475.00,$543959.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,Design,In-Progress,08/01/2017,03/30/2018,,3904256,$3904256.00,$540109.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,Construction,PNS,PNS,PNS,PNS,54757192,$54757192.00,$75054.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA Capacity,ADDITION,"CM,Art,F&E",PNS,PNS,PNS,PNS,7710906,$7710906.00,$109949.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,Scope,Complete,04/18/2017,04/18/2017,04/18/2017,9270,$19894.00,$681.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,Design,Complete,04/19/2017,07/31/2017,09/20/2017,33990,$31541.00,$2721.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,Construction,PNS,PNS,PNS,PNS,359985,$359985.00,$1586.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA CIP,DEMOLITION,"CM, F&E",PNS,PNS,PNS,PNS,83430,$83430.00,$31649.00,DSF: 0000798193
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,Scope,Complete,05/09/2017,10/10/2017,10/06/2017,85998,$1148.00,$1148.00,DSF: 0000799391
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,Design,In-Progress,10/11/2017,03/16/2018,,343992,$343992.00,$4594.00,DSF: 0000799391
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,Construction,PNS,PNS,PNS,PNS,6449857,$6449857.00,$0.00,DSF: 0000799391
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC BOILER CONVERSION,"CM, F&E",PNS,PNS,PNS,PNS,401324,$401324.00,$950.00,DSF: 0000799391
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,Scope,Complete,05/09/2017,10/10/2017,10/06/2017,24029,$48.00,$48.00,DSF: 0000779204
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,Design,In-Progress,10/11/2017,03/16/2018,,88108,$88108.00,$191.00,DSF: 0000779204
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,Construction,PNS,PNS,PNS,PNS,933143,$933143.00,$0.00,DSF: 0000779204
21,K097,P.S. 97 - BROOKLYN,SCA CIP,PLANYC CLIMATE CONTROL,"CM, F&E",PNS,PNS,PNS,PNS,216265,$216265.00,$364.00,DSF: 0000779204
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Scope,Complete,09/12/2003,09/12/2003,09/12/2003,720,$1448.00,$1448.00,DSF: 0000012191
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Design,Complete,09/15/2003,09/15/2003,10/28/2003,2600,$23870.00,$23870.00,DSF: 0000012191
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,Construction,In-Progress,02/17/2004,12/29/2005,,77000,$88645.00,$53856.00,DSF: 0000012191
21,K097,P.S. 97,SCA Emergency Lighti,LL 41/16 COMPLIANCE,CM,In-Progress,02/17/2004,12/29/2005,,12240,$47683.00,$45849.00,DSF: 0000012191
21,K097,P.S. 97 - BROOKLYN,DIIT - Project Conne,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,06/24/2013,12/31/2013,,DIIT,$263220.00,$0.00,DSF: 0000776728
21,K099,P.S. 99 - BROOKLYN,SCA IEH,"IEH PO18-RMS 207,209, & THE REAR GYM FROM EXIT G B",Construction,Complete,05/15/2017,IEH,07/26/2017,IEH,$57567.00,$2384.00,DSF: 0000046751
21,K099,P.S. 99 - BROOKLYN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/14/2017,07/14/2017,09/14/2017,50000,$49388.00,$49388.00,DSF: 0000845513
21,K099,P.S. 99 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,03/01/2017,DOEL,06/05/2017,DOEL,$578.00,$578.00,DSF:
21,K099,P.S. 99 - BROOKLYN,DOE - Lead Paint,LEAD PAINT ABATEMENT,Construction,Complete,03/27/2017,DOEL,11/06/2017,DOEL,$82763.00,$82763.00,DSF:
21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000866687
21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Design,PNS,PNS,PNS,PNS,9000,$9000.00,$0.00,DSF: 0000866687
21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,Construction,PNS,PNS,PNS,PNS,132000,$132000.00,$0.00,DSF: 0000866687
21,K100,P.S. 100 - BROOKLYN,SCA CIP RESOA,FY18 RESO A MOBILE SCIENCE LAB,"CM, F&E",PNS,PNS,PNS,PNS,9000,$9000.00,$0.00,DSF: 0000866687
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Scope,Complete,01/06/2015,04/07/2015,03/17/2015,0,$6646.00,$6646.00,DSF: 0000800349
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Design,Complete,10/07/2015,03/14/2016,03/23/2016,37028,$26765.00,$26582.00,DSF: 0000800349
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,Construction,Complete,07/19/2016,07/18/2017,07/18/2017,543076,$572817.00,$502900.00,DSF: 0000800349
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY15 RESO A LOW-VOLTAGE ELECTRICAL SYSTEM,"CM, F&E",Complete,07/19/2016,07/18/2017,07/18/2017,37028,$56037.00,$54672.00,DSF: 0000800349
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,0,$0.00,$0.00,DSF: 0000866367
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,30000,$30000.00,$0.00,DSF: 0000866367
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,440000,$440000.00,$0.00,DSF: 0000866367
26,Q026,P.S. 26 - QUEENS,SCA CIP RESOA,FY18 RESO A PLAYGROUNDS,"CM, F&E",PNS,PNS,PNS,PNS,30000,$30000.00,$0.00,DSF: 0000866367
26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Scope,Complete,09/17/2014,02/05/2015,03/16/2015,226470,$129390.00,$129390.00,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Design,Complete,02/12/2016,07/14/2016,10/12/2016,898205,$526869.00,$429482.00,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,Construction,In-Progress,05/08/2017,04/07/2019,,16151973,$14655345.00,$1569849.00,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
26,Q031,P.S. 31 - QUEENS,SCA CIP,CHIMNEY LINER REPLAC/PLANYC BOILER/CLIMATE/MASONRY,"CM, F&E",In-Progress,05/08/2017,04/07/2019,,1156717,$237515.00,$203836.00,"DSF: 0000800273, 0000833494, 0000833495, 0000833496, 0000833500, 0000843954, 0000843955"
26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Scope,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867252
26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Design,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867252
26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,Construction,PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867252
26,Q031,P.S. 31 - QUEENS,SCA CIP RESOA,FY18 RESO A AUDITORIUM  UPGRADE,"CM, F&E",PNS,PNS,PNS,PNS,PNB,$0.00,$0.00,DSF: 0000867252
26,Q031,P.S. 31 - QUEENS,DOE- RESOA,FY16 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,07/14/2017,DOER,,50000,$260857.00,$260857.00,DSF: 0000822857
26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Scope,Complete,01/13/2017,03/13/2017,02/21/2017,0,$11922.00,$5386.00,DSF: 0000844955
26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Design,In-Progress,04/17/2017,09/15/2017,,58200,$46278.00,$3656.00,DSF: 0000844955
26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,853600,$853600.00,$21330.00,DSF: 0000844955
26,Q041,P.S. 41 - QUEENS,SCA CIP RESOA,FY17 RESO A ELECTRICAL SYSTEMS,"CM, F&E",PNS,PNS,PNS,PNS,58200,$58200.00,$2175.00,DSF: 0000844955
26,Q041,P.S. 41 - QUEENS,SCA IEH,IEH PO18-VARIOUS,Construction,Complete,12/08/2017,IEH,12/10/2017,IEH,$20944.00,$2258.00,DSF: 0000049706
26,Q041,P.S. 41 - QUEENS,DIIT - PBX Telephone,NEW/RETROFIT TELEPHONE/INTERCOM SYS,Purch & Install,Complete,07/01/2017,11/20/2017,11/20/2017,DIIX,$152369.00,$152369.00,DSF: 0000867161
26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Scope,PNS,PNS,PNS,PNS,37500,$37500.00,$0.00,DSF: 0000866448
26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Design,PNS,PNS,PNS,PNS,112500,$112500.00,$0.00,DSF: 0000866448
26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,Construction,PNS,PNS,PNS,PNS,375000,$375000.00,$0.00,DSF: 0000866448
26,Q041,P.S. 41 - QUEENS,Trust For Public Lan,FY18 RESO A PLAYGROUNDS,F&E,PNS,PNS,PNS,PNS,101250,$101250.00,$0.00,DSF: 0000866448
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Scope,Complete,10/06/2014,02/25/2015,07/10/2015,17598,$87249.00,$87050.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Design,Complete,09/30/2015,03/07/2016,09/08/2016,70391,$78791.00,$77274.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,Construction,PNS,PNS,PNS,PNS,1319832,$1319832.00,$13178.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,SCA CIP,FLOOD ELIMINATION,"CM, F&E",PNS,PNS,PNS,PNS,82123,$82123.00,$18231.00,DSF: 0000788635
26,Q067,J.H.S. 67 - QUEENS,DOE - Skilled Trades,VACUUM PUMP REPLACMENT,Construction,In-Progress,02/19/2016,DOES,,DOES,$62818.00,$62818.00,DSF: 0000834056
26,Q074,I.S. 74 - QUEENS,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,03/16/2017,DOES,,DOES,$17268.00,$17268.00,DSF: 0000865902
26,Q094,P.S. 94 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/11/2017,01/15/2018,08/01/2017,50000,$49624.00,$49624.00,DSF: 0000845461
26,Q098,P.S. 98 - QUEENS,SCA IEH,IEH PO18-ROOM 101,Construction,Complete,06/06/2017,IEH,07/29/2017,IEH,$89165.00,$6176.00,DSF: 0000047146
26,Q098,P.S. 98 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/05/2017,01/15/2018,08/29/2017,35000,$34738.00,$34738.00,DSF: 0000844499
26,Q098,P.S. 98 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,06/05/2017,07/05/2017,08/29/2017,65000,$64512.00,$64512.00,DSF: 0000845462
26,Q098,P.S. 98 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,09/08/2017,DOES,,DOES,$170000.00,$790.00,DSF: 0000866026
26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,Complete,10/15/2015,03/21/2016,12/14/2015,83160,$63606.00,$63606.00,"DSF: 0000798279, 0000798280"
26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,Complete,12/30/2015,06/02/2017,06/24/2016,332640,$257224.00,$255791.00,"DSF: 0000798279, 0000798280"
26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Construction,In-Progress,10/24/2016,04/16/2018,,6237000,$6141064.00,$4539715.00,"DSF: 0000798279, 0000798280"
26,Q115,P.S. 115 - QUEENS,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,"CM, F&E",In-Progress,10/24/2016,04/16/2018,,388080,$332646.00,$284183.00,"DSF: 0000798279, 0000798280"
26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,Scope,Complete,12/07/2015,04/22/2016,05/25/2016,74250,$152715.00,$138531.00,"DSF: 0000834789, 0000834790"
26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,Design,Complete,06/28/2016,11/30/2016,03/21/2017,297000,$348509.00,$284693.00,"DSF: 0000834789, 0000834790"
26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,Construction,In-Progress,07/12/2017,01/02/2019,,5568750,$5164673.00,$659090.00,"DSF: 0000834789, 0000834790"
26,Q115,P.S. 115 - QUEENS,SCA CIP,PARAPETS/EXT MASONRY,"CM, F&E",In-Progress,07/12/2017,01/02/2019,,346500,$88640.00,$78052.00,"DSF: 0000834789, 0000834790"
26,Q115,P.S. 115 - QUEENS,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,Complete,05/15/2017,01/15/2018,07/03/2017,100000,$99200.00,$99200.00,DSF: 0000845144
26,Q115,P.S. 115 - QUEENS,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,01/27/2017,DOES,,DOES,$134832.00,$134832.00,DSF: 0000812703
26,Q130,P.S. 130 - QUEENS,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,Complete,09/18/2017,01/22/2018,10/02/2017,6808,$1214.00,$1214.00,DSF: 0000867067
